"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"DRX017329","DRX017329","DRX017329","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017330","DRX017330","DRX017330","female","head","head","a","adult","DRP003695",NA
"DRX017331","DRX017331","DRX017331","female","head","head","a","adult","DRP003695",NA
"DRX017332","DRX017332","DRX017332","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017333","DRX017333","DRX017333","male","head","head","a","adult","DRP003695",NA
"DRX017334","DRX017334","DRX017334","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017335","DRX017335","DRX017335","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017336","DRX017336","DRX017336","female","head","head","a","adult","DRP003695",NA
"DRX017337","DRX017337","DRX017337","female","head","head","a","adult","DRP003695",NA
"DRX017338","DRX017338","DRX017338","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017339","DRX017339","DRX017339","male","head","head","a","adult","DRP003695",NA
"DRX017340","DRX017340","DRX017340","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017341","DRX017341","DRX017341","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017342","DRX017342","DRX017342","female","head","head","a","adult","DRP003695",NA
"DRX017343","DRX017343","DRX017343","female","head","head","a","adult","DRP003695",NA
"DRX017344","DRX017344","DRX017344","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017345","DRX017345","DRX017345","male","head","head","a","adult","DRP003695",NA
"DRX017346","DRX017346","DRX017346","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017347","DRX017347","DRX017347","female","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017348","DRX017348","DRX017348","female","head","head","a","adult","DRP003695",NA
"DRX017349","DRX017349","DRX017349","female","head","head","a","adult","DRP003695",NA
"DRX017350","DRX017350","DRX017350","male","organism minus head","tissue carcass","a","adult","DRP003695",NA
"DRX017351","DRX017351","DRX017351","male","head","head","a","adult","DRP003695",NA
"DRX026968","DRX026968","DRX026968","female","mushroom body","mushroom body","a","adult","DRP003471",NA
"DRX026969","DRX026969","DRX026969","female","mushroom body","mushroom body","a","adult","DRP003471",NA
"DRX026970","DRX026970","DRX026970","female","mushroom body","mushroom body","a","adult","DRP003471",NA
"DRX026971","DRX026971","DRX026971","female","mushroom body","mushroom body","a","adult","DRP003471",NA
"DRX026972","DRX026972","DRX026972","female","mushroom body","mushroom body","a","adult","DRP003471",NA
"DRX026974","DRX026974","DRX026974","female","mushroom body","mushroom body","a","adult","DRP003471",NA
