"","X","curr_SRX","sex","simplified_tissue","broad_tissue","simpled_dev","broad_stage","study","cell_line"
"SRX2173497","SRX2173497","SRX2173497","female","head","head","a7","adult","SRP090065",NA
"SRX2173498","SRX2173498","SRX2173498","female","head","head","a7","adult","SRP090065",NA
"SRX2173499","SRX2173499","SRX2173499","male","head","head","a28","adult","SRP090065",NA
"SRX2173500","SRX2173500","SRX2173500","male","head","head","a28","adult","SRP090065",NA
"SRX2173501","SRX2173501","SRX2173501","male","head","head","a42","adult","SRP090065",NA
"SRX2173502","SRX2173502","SRX2173502","male","head","head","a7","adult","SRP090065",NA
"SRX2173503","SRX2173503","SRX2173503","male","head","head","a7","adult","SRP090065",NA
"SRX2175606","SRX2175606","SRX2175606","unknown","neuroblast","neuron","l3","larva","SRP090130",NA
"SRX2175607","SRX2175607","SRX2175607","unknown","neuroblast","neuron","l3","larva","SRP090130",NA
"SRX2192527","SRX2192527","SRX2192527","male","head","head","a4","adult","SRP068379",NA
"SRX2192528","SRX2192528","SRX2192528","male","head","head","a4","adult","SRP068379",NA
"SRX2192529","SRX2192529","SRX2192529","male","head","head","a4","adult","SRP068379",NA
"SRX2192530","SRX2192530","SRX2192530","male","head","head","a4","adult","SRP068379",NA
"SRX2192531","SRX2192531","SRX2192531","male","head","head","a4","adult","SRP068379",NA
"SRX2192532","SRX2192532","SRX2192532","male","head","head","a4","adult","SRP068379",NA
"SRX2192533","SRX2192533","SRX2192533","male","head","head","a4","adult","SRP068379",NA
"SRX2192534","SRX2192534","SRX2192534","male","head","head","a4","adult","SRP068379",NA
"SRX219316","SRX219316","SRX219316","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX219317","SRX219317","SRX219317","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX219318","SRX219318","SRX219318","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX219321","SRX219321","SRX219321","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX219322","SRX219322","SRX219322","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX219323","SRX219323","SRX219323","female","fat body","fat body","l","larva","SRP018130",NA
"SRX219324","SRX219324","SRX219324","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX219325","SRX219325","SRX219325","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX219326","SRX219326","SRX219326","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX219327","SRX219327","SRX219327","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX219331","SRX219331","SRX219331","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX219332","SRX219332","SRX219332","female","fat body","fat body","l3","larva","SRP018130",NA
"SRX2199861","SRX2199861","SRX2199861","female","ovary","ovary","a","adult","SRP090634",NA
"SRX220309","SRX220309","SRX220309","female","ovary","ovary","a","adult","SRP018251",NA
"SRX220310","SRX220310","SRX220310","female","ovary","ovary","a","adult","SRP018251",NA
"SRX220311","SRX220311","SRX220311","female","ovary","ovary","a","adult","SRP018251",NA
"SRX220312","SRX220312","SRX220312","female","ovary","ovary","a","adult","SRP018251",NA
"SRX220313","SRX220313","SRX220313","female","ovary","ovary","a","adult","SRP018251",NA
"SRX2230785","SRX2230785","SRX2230785","mixed","eye disc","disc","l3","larva","SRP091025",NA
"SRX2230786","SRX2230786","SRX2230786","mixed","eye disc","disc","l3","larva","SRP091025",NA
"SRX2230787","SRX2230787","SRX2230787","mixed","eye disc","disc","l3","larva","SRP091025",NA
"SRX2230791","SRX2230791","SRX2230791","mixed","eye disc","disc","l3","larva","SRP091025",NA
"SRX2230792","SRX2230792","SRX2230792","mixed","eye disc","disc","l3","larva","SRP091025",NA
"SRX2230793","SRX2230793","SRX2230793","mixed","eye disc","disc","l3","larva","SRP091025",NA
"SRX2230794","SRX2230794","SRX2230794","mixed","eye disc","disc","l3","larva","SRP091025",NA
"SRX2230795","SRX2230795","SRX2230795","mixed","eye disc","disc","l3","larva","SRP091025",NA
"SRX2230796","SRX2230796","SRX2230796","mixed","eye disc","disc","l3","larva","SRP091025",NA
"SRX2230797","SRX2230797","SRX2230797","mixed","eye disc","disc","l3","larva","SRP091025",NA
"SRX2236785","SRX2236785","SRX2236785","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236786","SRX2236786","SRX2236786","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236787","SRX2236787","SRX2236787","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236788","SRX2236788","SRX2236788","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236789","SRX2236789","SRX2236789","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236790","SRX2236790","SRX2236790","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236791","SRX2236791","SRX2236791","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236792","SRX2236792","SRX2236792","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236793","SRX2236793","SRX2236793","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236794","SRX2236794","SRX2236794","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236795","SRX2236795","SRX2236795","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236796","SRX2236796","SRX2236796","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236797","SRX2236797","SRX2236797","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236798","SRX2236798","SRX2236798","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236799","SRX2236799","SRX2236799","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236800","SRX2236800","SRX2236800","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236801","SRX2236801","SRX2236801","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236802","SRX2236802","SRX2236802","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236803","SRX2236803","SRX2236803","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236804","SRX2236804","SRX2236804","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236805","SRX2236805","SRX2236805","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236806","SRX2236806","SRX2236806","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236807","SRX2236807","SRX2236807","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236808","SRX2236808","SRX2236808","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236809","SRX2236809","SRX2236809","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236810","SRX2236810","SRX2236810","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236811","SRX2236811","SRX2236811","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236812","SRX2236812","SRX2236812","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236813","SRX2236813","SRX2236813","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236814","SRX2236814","SRX2236814","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236815","SRX2236815","SRX2236815","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236816","SRX2236816","SRX2236816","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236817","SRX2236817","SRX2236817","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236818","SRX2236818","SRX2236818","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236819","SRX2236819","SRX2236819","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2236820","SRX2236820","SRX2236820","male","whole body","whole body","a","adult","SRP091376",NA
"SRX2243438","SRX2243438","SRX2243438","female","whole body","whole body","a4","adult","SRP091513",NA
"SRX2243439","SRX2243439","SRX2243439","female","whole body","whole body","a4","adult","SRP091513",NA
"SRX2243440","SRX2243440","SRX2243440","female","whole body","whole body","a4","adult","SRP091513",NA
"SRX2243441","SRX2243441","SRX2243441","female","whole body","whole body","a4","adult","SRP091513",NA
"SRX2243442","SRX2243442","SRX2243442","female","whole body","whole body","a4","adult","SRP091513",NA
"SRX2243443","SRX2243443","SRX2243443","female","whole body","whole body","a4","adult","SRP091513",NA
"SRX2250374","SRX2250374","SRX2250374","unknown","whole body","whole body","l3","larva","SRP091700",NA
"SRX2250375","SRX2250375","SRX2250375","unknown","whole body","whole body","l3","larva","SRP091700",NA
"SRX2250376","SRX2250376","SRX2250376","unknown","whole body","whole body","l3","larva","SRP091700",NA
"SRX2250377","SRX2250377","SRX2250377","unknown","whole body","whole body","l3","larva","SRP091700",NA
"SRX2250378","SRX2250378","SRX2250378","unknown","whole body","whole body","l3","larva","SRP091700",NA
"SRX2250379","SRX2250379","SRX2250379","unknown","whole body","whole body","l3","larva","SRP091700",NA
"SRX2250380","SRX2250380","SRX2250380","unknown","whole body","whole body","l3","larva","SRP091700",NA
"SRX2250381","SRX2250381","SRX2250381","unknown","whole body","whole body","l3","larva","SRP091700",NA
"SRX2250383","SRX2250383","SRX2250383","unknown","whole body","whole body","l3","larva","SRP091700",NA
"SRX2250384","SRX2250384","SRX2250384","unknown","whole body","whole body","l3","larva","SRP091700",NA
"SRX2255255","SRX2255255","SRX2255255","unknown","embryo","embryo","e3","embryo","SRP091878",NA
"SRX2255256","SRX2255256","SRX2255256","unknown","embryo","embryo","e3","embryo","SRP091878",NA
"SRX2255257","SRX2255257","SRX2255257","unknown","cytoplasm of embryo","embryo","e10","embryo","SRP091878",NA
"SRX2255258","SRX2255258","SRX2255258","unknown","cytoplasm of embryo","embryo","e10","embryo","SRP091878",NA
"SRX2255259","SRX2255259","SRX2255259","unknown","nucleus of embryo","embryo","e10","embryo","SRP091878",NA
"SRX2255260","SRX2255260","SRX2255260","unknown","nucleus of embryo","embryo","e10","embryo","SRP091878",NA
"SRX2255261","SRX2255261","SRX2255261","unknown","embryo","embryo","e8","embryo","SRP091878",NA
"SRX2255262","SRX2255262","SRX2255262","unknown","embryo","embryo","e8","embryo","SRP091878",NA
"SRX2255263","SRX2255263","SRX2255263","unknown","embryo","embryo","e8","embryo","SRP091878",NA
"SRX2255264","SRX2255264","SRX2255264","unknown","embryo","embryo","e8","embryo","SRP091878",NA
"SRX2255265","SRX2255265","SRX2255265","unknown","embryo","embryo","e8","embryo","SRP091878",NA
"SRX2255266","SRX2255266","SRX2255266","unknown","embryo","embryo","e8","embryo","SRP091878",NA
"SRX2255267","SRX2255267","SRX2255267","unknown","embryo","embryo","e8","embryo","SRP091878",NA
"SRX2255268","SRX2255268","SRX2255268","unknown","embryo","embryo","e8","embryo","SRP091878",NA
"SRX2268045","SRX2268045","SRX2268045","unknown","brain","brain","pu7","pupae","SRP092054",NA
"SRX2268046","SRX2268046","SRX2268046","unknown","brain","brain","pu7","pupae","SRP092054",NA
"SRX2268047","SRX2268047","SRX2268047","unknown","brain","brain","pu7","pupae","SRP092054",NA
"SRX2268049","SRX2268049","SRX2268049","unknown","brain","brain","a9","adult","SRP092054",NA
"SRX2268050","SRX2268050","SRX2268050","unknown","brain","brain","pu9","pupae","SRP092054",NA
"SRX2268051","SRX2268051","SRX2268051","unknown","brain","brain","pu9","pupae","SRP092054",NA
"SRX2268052","SRX2268052","SRX2268052","unknown","brain","brain","a9","adult","SRP092054",NA
"SRX2276823","SRX2276823","SRX2276823","female","head","head","a10","adult","SRP092210",NA
"SRX2276824","SRX2276824","SRX2276824","female","head","head","a10","adult","SRP092210",NA
"SRX2276825","SRX2276825","SRX2276825","female","head","head","a10","adult","SRP092210",NA
"SRX2276826","SRX2276826","SRX2276826","female","thorax","thorax","a10","adult","SRP092210",NA
"SRX2276827","SRX2276827","SRX2276827","female","thorax","thorax","a10","adult","SRP092210",NA
"SRX2276828","SRX2276828","SRX2276828","female","thorax","thorax","a10","adult","SRP092210",NA
"SRX2276829","SRX2276829","SRX2276829","female","abdomen minus digestive system and reproductive system","tissue carcass","a10","adult","SRP092210",NA
"SRX2276830","SRX2276830","SRX2276830","female","abdomen minus digestive system and reproductive system","tissue carcass","a10","adult","SRP092210",NA
"SRX2276831","SRX2276831","SRX2276831","female","abdomen minus digestive system and reproductive system","tissue carcass","a10","adult","SRP092210",NA
"SRX2276832","SRX2276832","SRX2276832","female","ovary","ovary","a10","adult","SRP092210",NA
"SRX2276833","SRX2276833","SRX2276833","female","ovary","ovary","a10","adult","SRP092210",NA
"SRX2276834","SRX2276834","SRX2276834","female","ovary","ovary","a10","adult","SRP092210",NA
"SRX2276835","SRX2276835","SRX2276835","female","fat body","fat body","a10","adult","SRP092210",NA
"SRX2276836","SRX2276836","SRX2276836","female","fat body","fat body","a10","adult","SRP092210",NA
"SRX2276837","SRX2276837","SRX2276837","female","fat body","fat body","a","adult","SRP092210",NA
"SRX2276838","SRX2276838","SRX2276838","female","fat body","fat body","a10","adult","SRP092210",NA
"SRX2276839","SRX2276839","SRX2276839","female","fat body","fat body","a","adult","SRP092210",NA
"SRX2276840","SRX2276840","SRX2276840","female","fat body","fat body","a10","adult","SRP092210",NA
"SRX2279542","SRX2279542","SRX2279542","female","ovary","ovary","a5","adult","SRP092228",NA
"SRX2279543","SRX2279543","SRX2279543","female","ovary","ovary","a2","adult","SRP092228",NA
"SRX2279544","SRX2279544","SRX2279544","female","ovary","ovary","a2","adult","SRP092228",NA
"SRX2310856","SRX2310856","SRX2310856","unknown","embryo","embryo","e2","embryo","SRP092328",NA
"SRX2310857","SRX2310857","SRX2310857","unknown","embryo","embryo","e3","embryo","SRP092328",NA
"SRX2310864","SRX2310864","SRX2310864","unknown","embryo","embryo","e12","embryo","SRP092328",NA
"SRX2310865","SRX2310865","SRX2310865","unknown","embryo","embryo","e13","embryo","SRP092328",NA
"SRX2310866","SRX2310866","SRX2310866","unknown","embryo","embryo","e14","embryo","SRP092328",NA
"SRX2310867","SRX2310867","SRX2310867","unknown","embryo","embryo","e15","embryo","SRP092328",NA
"SRX2310869","SRX2310869","SRX2310869","unknown","embryo","embryo","e16","embryo","SRP092328",NA
"SRX2310871","SRX2310871","SRX2310871","unknown","embryo","embryo","e16","embryo","SRP092328",NA
"SRX2310872","SRX2310872","SRX2310872","unknown","embryo","embryo","e17","embryo","SRP092328",NA
"SRX2310873","SRX2310873","SRX2310873","unknown","embryo","embryo","e17","embryo","SRP092328",NA
"SRX2310874","SRX2310874","SRX2310874","unknown","embryo","embryo","e17","embryo","SRP092328",NA
"SRX2310876","SRX2310876","SRX2310876","unknown","embryo","embryo","e17","embryo","SRP092328",NA
"SRX2321786","SRX2321786","SRX2321786","unknown","head","head","a3","adult","SRP092479",NA
"SRX2321791","SRX2321791","SRX2321791","unknown","head","head","a3","adult","SRP092479",NA
"SRX2321792","SRX2321792","SRX2321792","unknown","head","head","a3","adult","SRP092479",NA
"SRX2321795","SRX2321795","SRX2321795","unknown","head","head","a3","adult","SRP092479",NA
"SRX2324002","SRX2324002","SRX2324002","unknown","embryo","embryo","e","embryo","SRP092538",NA
"SRX2325622","SRX2325622","SRX2325622","male","testis","testis","a1","adult","SRP092553",NA
"SRX2325623","SRX2325623","SRX2325623","male","testis","testis","a1","adult","SRP092553",NA
"SRX2325624","SRX2325624","SRX2325624","male","head","head","a1","adult","SRP092553",NA
"SRX2325625","SRX2325625","SRX2325625","male","testis","testis","a1","adult","SRP092553",NA
"SRX2325626","SRX2325626","SRX2325626","male","testis","testis","a1","adult","SRP092553",NA
"SRX2325627","SRX2325627","SRX2325627","male","head","head","a1","adult","SRP092553",NA
"SRX2325628","SRX2325628","SRX2325628","male","testis","testis","a1","adult","SRP092553",NA
"SRX2325629","SRX2325629","SRX2325629","male","testis","testis","a1","adult","SRP092553",NA
"SRX2325630","SRX2325630","SRX2325630","male","testis","testis","a1","adult","SRP092553",NA
"SRX2325631","SRX2325631","SRX2325631","male","testis","testis","a1","adult","SRP092553",NA
"SRX2335807","SRX2335807","SRX2335807","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335808","SRX2335808","SRX2335808","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335809","SRX2335809","SRX2335809","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335810","SRX2335810","SRX2335810","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335811","SRX2335811","SRX2335811","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335812","SRX2335812","SRX2335812","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335813","SRX2335813","SRX2335813","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335814","SRX2335814","SRX2335814","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335815","SRX2335815","SRX2335815","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335816","SRX2335816","SRX2335816","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335817","SRX2335817","SRX2335817","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335818","SRX2335818","SRX2335818","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335819","SRX2335819","SRX2335819","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335820","SRX2335820","SRX2335820","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335821","SRX2335821","SRX2335821","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335822","SRX2335822","SRX2335822","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335823","SRX2335823","SRX2335823","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335824","SRX2335824","SRX2335824","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335825","SRX2335825","SRX2335825","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335826","SRX2335826","SRX2335826","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335827","SRX2335827","SRX2335827","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335828","SRX2335828","SRX2335828","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335829","SRX2335829","SRX2335829","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335830","SRX2335830","SRX2335830","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335831","SRX2335831","SRX2335831","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335832","SRX2335832","SRX2335832","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335833","SRX2335833","SRX2335833","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335834","SRX2335834","SRX2335834","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335835","SRX2335835","SRX2335835","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335836","SRX2335836","SRX2335836","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335837","SRX2335837","SRX2335837","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335838","SRX2335838","SRX2335838","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335839","SRX2335839","SRX2335839","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335840","SRX2335840","SRX2335840","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335841","SRX2335841","SRX2335841","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335842","SRX2335842","SRX2335842","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335843","SRX2335843","SRX2335843","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335844","SRX2335844","SRX2335844","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335845","SRX2335845","SRX2335845","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335846","SRX2335846","SRX2335846","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335847","SRX2335847","SRX2335847","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335848","SRX2335848","SRX2335848","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335849","SRX2335849","SRX2335849","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335850","SRX2335850","SRX2335850","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335851","SRX2335851","SRX2335851","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335852","SRX2335852","SRX2335852","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335853","SRX2335853","SRX2335853","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335854","SRX2335854","SRX2335854","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335855","SRX2335855","SRX2335855","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335856","SRX2335856","SRX2335856","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335857","SRX2335857","SRX2335857","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335858","SRX2335858","SRX2335858","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335859","SRX2335859","SRX2335859","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335860","SRX2335860","SRX2335860","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335861","SRX2335861","SRX2335861","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335862","SRX2335862","SRX2335862","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335863","SRX2335863","SRX2335863","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335864","SRX2335864","SRX2335864","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335865","SRX2335865","SRX2335865","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335866","SRX2335866","SRX2335866","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335867","SRX2335867","SRX2335867","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335868","SRX2335868","SRX2335868","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335869","SRX2335869","SRX2335869","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335870","SRX2335870","SRX2335870","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335871","SRX2335871","SRX2335871","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335872","SRX2335872","SRX2335872","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335874","SRX2335874","SRX2335874","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335875","SRX2335875","SRX2335875","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335876","SRX2335876","SRX2335876","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335877","SRX2335877","SRX2335877","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2335878","SRX2335878","SRX2335878","female","whole body","whole body","a","adult","SRP092882",NA
"SRX2348480","SRX2348480","SRX2348480","unknown","eye-antennal disc","disc","l3","larva","SRP093352",NA
"SRX2348481","SRX2348481","SRX2348481","unknown","eye-antennal disc","disc","l3","larva","SRP093352",NA
"SRX2348482","SRX2348482","SRX2348482","unknown","eye-antennal disc","disc","l3","larva","SRP093352",NA
"SRX2348483","SRX2348483","SRX2348483","unknown","eye-antennal disc","disc","l3","larva","SRP093352",NA
"SRX2348485","SRX2348485","SRX2348485","unknown","eye-antennal disc","disc","l3","larva","SRP093352",NA
"SRX2348487","SRX2348487","SRX2348487","unknown","eye-antennal disc","disc","l3","larva","SRP093352",NA
"SRX2348488","SRX2348488","SRX2348488","unknown","eye-antennal disc","disc","l3","larva","SRP093352",NA
"SRX2356685","SRX2356685","SRX2356685","unknown","head neuron","neuron","a","adult","SRP093649",NA
"SRX2356686","SRX2356686","SRX2356686","unknown","head neuron","neuron","a","adult","SRP093649",NA
"SRX2356687","SRX2356687","SRX2356687","unknown","head neuron","neuron","a","adult","SRP093649",NA
"SRX2356688","SRX2356688","SRX2356688","unknown","head neuron","neuron","a","adult","SRP093649",NA
"SRX2356689","SRX2356689","SRX2356689","unknown","brain glia","neuron","a","adult","SRP093649",NA
"SRX2356691","SRX2356691","SRX2356691","unknown","brain glia","neuron","a","adult","SRP093649",NA
"SRX2356692","SRX2356692","SRX2356692","unknown","brain glia","neuron","a","adult","SRP093649",NA
"SRX2356693","SRX2356693","SRX2356693","unknown","head","head","a","adult","SRP093649",NA
"SRX2356694","SRX2356694","SRX2356694","unknown","head fat body","fat body","a","adult","SRP093649",NA
"SRX2356695","SRX2356695","SRX2356695","unknown","head fat body","fat body","a","adult","SRP093649",NA
"SRX2356696","SRX2356696","SRX2356696","unknown","head fat body","fat body","a","adult","SRP093649",NA
"SRX2374084","SRX2374084","SRX2374084","mixed","head","head","a","adult","SRP093886",NA
"SRX2374085","SRX2374085","SRX2374085","mixed","head","head","a","adult","SRP093886",NA
"SRX2374086","SRX2374086","SRX2374086","mixed","head","head","a","adult","SRP093886",NA
"SRX2374087","SRX2374087","SRX2374087","mixed","head","head","a","adult","SRP093886",NA
"SRX2416970","SRX2416970","SRX2416970","male","testis","testis","a","adult","SRP094985",NA
"SRX2416971","SRX2416971","SRX2416971","male","testis","testis","a","adult","SRP094985",NA
"SRX2416972","SRX2416972","SRX2416972","male","testis","testis","a","adult","SRP094985",NA
"SRX2416973","SRX2416973","SRX2416973","male","testis","testis","a","adult","SRP094985",NA
"SRX2416974","SRX2416974","SRX2416974","male","testis","testis","a","adult","SRP094985",NA
"SRX2416975","SRX2416975","SRX2416975","male","testis","testis","a","adult","SRP094985",NA
"SRX2416976","SRX2416976","SRX2416976","male","testis","testis","a","adult","SRP094985",NA
"SRX2416977","SRX2416977","SRX2416977","male","testis","testis","a","adult","SRP094985",NA
"SRX2420155","SRX2420155","SRX2420155","unknown","fat body","fat body","l3","larva","SRP095043",NA
"SRX2420156","SRX2420156","SRX2420156","unknown","fat body","fat body","l3","larva","SRP095043",NA
"SRX2420157","SRX2420157","SRX2420157","unknown","fat body","fat body","l3","larva","SRP095043",NA
"SRX2420158","SRX2420158","SRX2420158","unknown","fat body","fat body","l3","larva","SRP095043",NA
"SRX2420159","SRX2420159","SRX2420159","unknown","fat body","fat body","l3","larva","SRP095043",NA
"SRX2420160","SRX2420160","SRX2420160","unknown","fat body","fat body","l3","larva","SRP095043",NA
"SRX2425088","SRX2425088","SRX2425088","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425089","SRX2425089","SRX2425089","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425090","SRX2425090","SRX2425090","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425091","SRX2425091","SRX2425091","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425092","SRX2425092","SRX2425092","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425093","SRX2425093","SRX2425093","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425094","SRX2425094","SRX2425094","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425095","SRX2425095","SRX2425095","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425096","SRX2425096","SRX2425096","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425097","SRX2425097","SRX2425097","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425098","SRX2425098","SRX2425098","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425099","SRX2425099","SRX2425099","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425100","SRX2425100","SRX2425100","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425101","SRX2425101","SRX2425101","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425102","SRX2425102","SRX2425102","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425103","SRX2425103","SRX2425103","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425104","SRX2425104","SRX2425104","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425105","SRX2425105","SRX2425105","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425106","SRX2425106","SRX2425106","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425107","SRX2425107","SRX2425107","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425108","SRX2425108","SRX2425108","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425109","SRX2425109","SRX2425109","unknown","wing disc","disc","l3","larva","SRP095159",NA
"SRX2425110","SRX2425110","SRX2425110","unknown","wing disc","disc","l3","larva","SRP095159",NA
