curr_SRX,sex,simplified_tissue,broad_tissue,simpled_dev,broad_stage
SRX193616,unknown,ventral nerve cord,neuron,e12,embryo
SRX820206,unknown,ventral nerve cord,neuron,l3,larva
SRX820214,unknown,ventral nerve cord,neuron,l3,larva
SRX2440130,mixed,ventral nerve cord,neuron,a7,adult
SRX193614,unknown,ventral nerve cord,neuron,e12,embryo
SRX2440132,mixed,ventral nerve cord,neuron,a7,adult
SRX1555373,unknown,ventral nerve cord,neuron,e13,embryo
SRX820213,unknown,ventral nerve cord,neuron,l3,larva
SRX820208,unknown,ventral nerve cord,neuron,l3,larva
SRX2440131,mixed,ventral nerve cord,neuron,a,adult
SRX1329378,female,whole body,whole body,a,adult
SRX1293263,male,whole body,whole body,a,adult
SRX674803,male,whole body,whole body,a,adult
SRX1482933,male,whole body,whole body,a,adult
SRX674804,male,whole body,whole body,a,adult
SRX1482934,male,whole body,whole body,a,adult
SRX1482935,female,whole body,whole body,a,adult
SRX674820,female,whole body,whole body,a,adult
SRX674826,male,whole body,whole body,a,adult
ERX1918275,female,whole body,whole body,a10,adult
ERX1918276,female,whole body,whole body,a10,adult
ERX1918277,female,whole body,whole body,a10,adult
ERX1918278,female,whole body,whole body,a10,adult
ERX1918279,female,whole body,whole body,a10,adult
SRX1482939,female,whole body,whole body,a,adult
ERX1918283,female,whole body,whole body,a10,adult
SRX1482940,female,whole body,whole body,a,adult
SRX675103,female,whole body,whole body,a,adult
SRX1482941,male,whole body,whole body,a,adult
SRX675105,male,whole body,whole body,a,adult
SRX019652,female,whole body,whole body,a,adult
SRX019653,male,whole body,whole body,a,adult
SRX675111,male,whole body,whole body,a,adult
SRX1482943,male,whole body,whole body,a,adult
SRX019657,unknown,whole body,whole body,a,adult
SRX1482944,female,whole body,whole body,a,adult
SRX1482945,female,whole body,whole body,a,adult
SRX142935,unknown,whole body,whole body,a,adult
SRX494090,unknown,whole body,whole body,a,adult
SRX494034,unknown,whole body,whole body,a,adult
SRX246415,unknown,whole body,whole body,a,adult
SRX494122,unknown,whole body,whole body,a,adult
SRX246418,unknown,whole body,whole body,a,adult
SRX142936,unknown,whole body,whole body,a,adult
SRX142937,unknown,whole body,whole body,a,adult
SRX246411,unknown,whole body,whole body,a,adult
SRX494040,unknown,whole body,whole body,a,adult
SRX142938,unknown,whole body,whole body,a,adult
SRX493993,unknown,whole body,whole body,a,adult
SRX246413,unknown,whole body,whole body,a,adult
SRX494064,unknown,whole body,whole body,a,adult
SRX494035,unknown,whole body,whole body,a,adult
SRX494124,unknown,whole body,whole body,a,adult
SRX246401,unknown,whole body,whole body,a,adult
SRX142939,unknown,whole body,whole body,a,adult
SRX142940,unknown,whole body,whole body,a,adult
SRX493986,unknown,whole body,whole body,a,adult
SRX246408,unknown,whole body,whole body,a,adult
SRX494045,unknown,whole body,whole body,a,adult
SRX246422,unknown,whole body,whole body,a,adult
SRX142941,unknown,whole body,whole body,a,adult
SRX494074,unknown,whole body,whole body,a,adult
SRX142942,unknown,whole body,whole body,a,adult
SRX246409,unknown,whole body,whole body,a,adult
SRX494093,unknown,whole body,whole body,a,adult
SRX648304,unknown,whole body,whole body,a,adult
SRX142951,unknown,whole body,whole body,a,adult
SRX246410,unknown,whole body,whole body,a,adult
SRX494091,unknown,whole body,whole body,a,adult
SRX648306,unknown,whole body,whole body,a,adult
SRX142952,unknown,whole body,whole body,a,adult
SRX493948,unknown,whole body,whole body,a,adult
SRX493961,unknown,whole body,whole body,a,adult
SRX246423,unknown,whole body,whole body,a,adult
SRX142953,unknown,whole body,whole body,a,adult
SRX493982,unknown,whole body,whole body,a,adult
SRX493975,unknown,whole body,whole body,a,adult
SRX246406,unknown,whole body,whole body,a,adult
SRX142954,unknown,whole body,whole body,a,adult
SRX493969,unknown,whole body,whole body,a,adult
SRX493996,unknown,whole body,whole body,a,adult
SRX246420,unknown,whole body,whole body,a,adult
SRX494061,unknown,whole body,whole body,a,adult
SRX142955,unknown,whole body,whole body,a,adult
SRX494094,unknown,whole body,whole body,a,adult
SRX1482969,female,whole body,whole body,a,adult
SRX675178,female,whole body,whole body,a,adult
SRX1482970,female,whole body,whole body,a,adult
SRX002599,unknown,whole body,whole body,a,adult
SRX002601,unknown,whole body,whole body,a,adult
SRX002602,unknown,whole body,whole body,a,adult
SRX1482972,female,whole body,whole body,a,adult
SRX675188,female,whole body,whole body,a,adult
SRX012520,unknown,whole body,whole body,a,adult
SRX1482974,female,whole body,whole body,a,adult
SRX675189,female,whole body,whole body,a,adult
SRX1482975,female,whole body,whole body,a,adult
SRX675191,female,whole body,whole body,a,adult
SRX1482976,female,whole body,whole body,a,adult
SRX675192,female,whole body,whole body,a,adult
SRX1482977,female,whole body,whole body,a,adult
SRX675195,female,whole body,whole body,a,adult
SRX1482978,male,whole body,whole body,a,adult
SRX675196,male,whole body,whole body,a,adult
SRX675200,male,whole body,whole body,a,adult
SRX1706928,male,whole body,whole body,a8,adult
SRX3257769,female,whole body,whole body,a,adult
SRX1482980,female,whole body,whole body,a,adult
SRX1482981,male,whole body,whole body,a,adult
SRX675202,male,whole body,whole body,a,adult
SRX1329204,male,whole body,whole body,a,adult
SRX1329205,female,whole body,whole body,a,adult
SRX1329206,female,whole body,whole body,a,adult
SRX1329207,female,whole body,whole body,a,adult
SRX1329208,male,whole body,whole body,a,adult
SRX1329209,male,whole body,whole body,a,adult
SRX1329210,male,whole body,whole body,a,adult
SRX675206,male,whole body,whole body,a,adult
SRX1482986,male,whole body,whole body,a,adult
SRX675207,male,whole body,whole body,a,adult
SRX1482987,female,whole body,whole body,a,adult
SRX675212,female,whole body,whole body,a,adult
SRX1482988,female,whole body,whole body,a,adult
SRX675213,female,whole body,whole body,a,adult
SRX675214,female,whole body,whole body,a,adult
SRX1482989,female,whole body,whole body,a,adult
SRX675215,male,whole body,whole body,a,adult
SRX1482990,male,whole body,whole body,a,adult
SRX1482991,female,whole body,whole body,a,adult
SRX675217,female,whole body,whole body,a,adult
SRX1482992,male,whole body,whole body,a,adult
SRX675221,male,whole body,whole body,a,adult
SRX675222,female,whole body,whole body,a,adult
SRX1482993,female,whole body,whole body,a,adult
SRX054459,female,whole body,whole body,a6,adult
SRX054460,female,whole body,whole body,a6,adult
SRX054461,male,whole body,whole body,a6,adult
SRX054462,male,whole body,whole body,a6,adult
SRX675226,male,whole body,whole body,a,adult
SRX1329233,male,whole body,whole body,a,adult
SRX1329234,male,whole body,whole body,a,adult
SRX1329235,female,whole body,whole body,a,adult
SRX1329236,female,whole body,whole body,a,adult
SRX1329237,female,whole body,whole body,a,adult
SRX1482999,female,whole body,whole body,a,adult
SRX675229,female,whole body,whole body,a,adult
SRX1483000,female,whole body,whole body,a,adult
SRX1329241,female,whole body,whole body,a,adult
SRX675232,female,whole body,whole body,a,adult
SRX1329243,female,whole body,whole body,a,adult
SRX1483002,male,whole body,whole body,a,adult
SRX675233,male,whole body,whole body,a,adult
SRX1483003,male,whole body,whole body,a,adult
SRX675234,male,whole body,whole body,a,adult
SRX675238,male,whole body,whole body,a,adult
SRX1483004,male,whole body,whole body,a,adult
SRX675239,male,whole body,whole body,a,adult
SRX1483005,male,whole body,whole body,a,adult
SRX675240,female,whole body,whole body,a,adult
SRX1483006,female,whole body,whole body,a,adult
SRX675241,female,whole body,whole body,a,adult
SRX1483007,female,whole body,whole body,a,adult
SRX1483008,male,whole body,whole body,a,adult
SRX675243,male,whole body,whole body,a,adult
SRX675244,female,whole body,whole body,a,adult
SRX1483009,female,whole body,whole body,a,adult
SRX1483010,female,whole body,whole body,a,adult
SRX675247,female,whole body,whole body,a,adult
SRX675250,male,whole body,whole body,a,adult
SRX1483011,male,whole body,whole body,a,adult
SRX525165,female,whole body,whole body,a3,adult
SRX2335844,female,whole body,whole body,a,adult
SRX3291835,male,whole body,whole body,a,adult
SRX1098302,unknown,whole body,whole body,l3,larva
SRX2335847,female,whole body,whole body,a,adult
SRX2335848,female,whole body,whole body,a,adult
SRX2335849,female,whole body,whole body,a,adult
SRX2335850,female,whole body,whole body,a,adult
SRX2335851,female,whole body,whole body,a,adult
SRX2250380,unknown,whole body,whole body,l3,larva
SRX2250383,unknown,whole body,whole body,l3,larva
SRX2335854,female,whole body,whole body,a,adult
SRX1329524,male,whole body,whole body,a,adult
SRX2250384,unknown,whole body,whole body,l3,larva
SRX2335857,female,whole body,whole body,a,adult
SRX675258,male,whole body,whole body,a,adult
SRX1483020,male,whole body,whole body,a,adult
SRX675259,male,whole body,whole body,a,adult
SRX675261,female,whole body,whole body,a,adult
SRX2335862,female,whole body,whole body,a,adult
SRX099110,unknown,whole body,whole body,a,adult
SRX099111,unknown,whole body,whole body,a,adult
SRX099112,unknown,whole body,whole body,a,adult
SRX675263,female,whole body,whole body,a,adult
SRX1329288,male,whole body,whole body,a,adult
SRX1483024,male,whole body,whole body,a,adult
SRX1483025,female,whole body,whole body,a,adult
SRX181242,mixed,whole body,whole body,a,adult
SRX1483026,female,whole body,whole body,a,adult
SRX675267,female,whole body,whole body,a,adult
SRX675268,male,whole body,whole body,a,adult
SRX1483027,male,whole body,whole body,a,adult
SRX675269,male,whole body,whole body,a,adult
SRX1483028,male,whole body,whole body,a,adult
SRX100238,mixed,whole body,whole body,a3,adult
SRX100239,mixed,whole body,whole body,a3,adult
SRX1483030,male,whole body,whole body,a,adult
SRX675291,female,whole body,whole body,a,adult
SRX012985,unknown,whole body,whole body,l2,larva
SRX3158169,female,whole body,whole body,a4,adult
SRX3235259,mixed,whole body,whole body,l3,larva
SRX2250375,unknown,whole body,whole body,l3,larva
SRX1491306,female,whole body,whole body,a5,adult
SRX1098301,unknown,whole body,whole body,l3,larva
SRX1491308,female,whole body,whole body,a5,adult
SRX2250378,unknown,whole body,whole body,l3,larva
SRX1491310,female,whole body,whole body,a5,adult
SRX703058,male,whole body,whole body,a,adult
SRX1342064,male,whole body,whole body,a,adult
SRX965047,male,whole body,whole body,a4,adult
SRX2250381,unknown,whole body,whole body,l3,larva
SRX1329314,female,whole body,whole body,a,adult
SRX2767919,unknown,whole body,whole body,l3,larva
SRX3526095,male,whole body,whole body,a,adult
SRX3526147,male,whole body,whole body,a,adult
SRX3526102,male,whole body,whole body,a,adult
SRX3526103,male,whole body,whole body,a,adult
SRX3526098,male,whole body,whole body,a,adult
SRX703000,female,whole body,whole body,a,adult
SRX3526099,male,whole body,whole body,a,adult
SRX3235246,mixed,whole body,whole body,l3,larva
SRX1870214,unknown,whole body,whole body,a,adult
SRX1329202,male,whole body,whole body,a,adult
SRX1329203,male,whole body,whole body,a,adult
SRX675286,female,whole body,whole body,a,adult
SRX1483045,male,whole body,whole body,a,adult
SRX675287,male,whole body,whole body,a,adult
SRX1483046,male,whole body,whole body,a,adult
SRX1563253,unknown,whole body,whole body,a,adult
SRX1542109,unknown,whole body,whole body,a,adult
SRX675321,male,whole body,whole body,a,adult
SRX1329335,male,whole body,whole body,a,adult
SRX1329336,male,whole body,whole body,a,adult
SRX3389656,female,whole body,whole body,a7,adult
SRX1329338,female,whole body,whole body,a,adult
DRX027361,female,whole body,whole body,a,adult
SRX1329340,male,whole body,whole body,a,adult
SRX378808,unknown,whole body,whole body,a,adult
SRX378809,unknown,whole body,whole body,a,adult
SRX378810,unknown,whole body,whole body,a,adult
DRX027366,female,whole body,whole body,a,adult
SRX1329345,female,whole body,whole body,a,adult
SRX1329346,male,whole body,whole body,a,adult
SRX340324,male,whole body,whole body,a5,adult
SRX1098299,unknown,whole body,whole body,l3,larva
SRX196096,unknown,whole body,whole body,a,adult
SRX196097,unknown,whole body,whole body,a,adult
SRX197305,female,whole body,whole body,l3,larva
SRX197306,male,whole body,whole body,l3,larva
SRX197307,female,whole body,whole body,l3,larva
DRX027373,female,whole body,whole body,a,adult
SRX1491300,female,whole body,whole body,a5,adult
SRX1743379,female,whole body,whole body,a3,adult
SRX1743380,female,whole body,whole body,a3,adult
SRX1743381,female,whole body,whole body,a3,adult
SRX1743382,female,whole body,whole body,a3,adult
SRX1743383,female,whole body,whole body,a3,adult
SRX1743384,female,whole body,whole body,a3,adult
SRX2236806,male,whole body,whole body,a,adult
SRX1329361,female,whole body,whole body,a,adult
SRX1329362,female,whole body,whole body,a,adult
SRX1329363,female,whole body,whole body,a,adult
SRX2236810,male,whole body,whole body,a,adult
SRX703193,female,whole body,whole body,a,adult
SRX113880,unknown,whole body,whole body,a,adult
SRX113883,unknown,whole body,whole body,a,adult
SRX113884,unknown,whole body,whole body,a,adult
SRX113887,unknown,whole body,whole body,a,adult
SRX113890,unknown,whole body,whole body,a,adult
DRX073118,female,whole body,whole body,a,adult
DRX073127,female,whole body,whole body,a,adult
DRX073119,female,whole body,whole body,a,adult
DRX073128,female,whole body,whole body,a,adult
SRX1743402,female,whole body,whole body,a3,adult
SRX1743403,female,whole body,whole body,a3,adult
SRX1743404,female,whole body,whole body,a3,adult
DRX073122,female,whole body,whole body,a,adult
SRX114895,unknown,whole body,whole body,a,adult
SRX114896,unknown,whole body,whole body,a,adult
SRX114898,unknown,whole body,whole body,a,adult
SRX114897,unknown,whole body,whole body,a,adult
SRX114901,unknown,whole body,whole body,a,adult
SRX114900,unknown,whole body,whole body,a,adult
SRX114903,unknown,whole body,whole body,a,adult
SRX114902,unknown,whole body,whole body,a,adult
SRX1743414,female,whole body,whole body,a3,adult
SRX1743415,female,whole body,whole body,a3,adult
SRX1743416,male,whole body,whole body,a3,adult
SRX1329391,female,whole body,whole body,a,adult
SRX1329393,male,whole body,whole body,a,adult
SRX1329394,male,whole body,whole body,a,adult
SRX1329395,female,whole body,whole body,a,adult
SRX1743421,male,whole body,whole body,a3,adult
SRX1329397,female,whole body,whole body,a,adult
SRX1491303,female,whole body,whole body,a5,adult
SRX1491304,female,whole body,whole body,a5,adult
SRX1743425,male,whole body,whole body,a3,adult
SRX1743426,male,whole body,whole body,a3,adult
ERX2160332,female,whole body,whole body,a,adult
SRX1329402,female,whole body,whole body,a,adult
SRX1743429,male,whole body,whole body,a3,adult
SRX1743430,male,whole body,whole body,a3,adult
SRX1329406,male,whole body,whole body,a,adult
SRX1329407,female,whole body,whole body,a,adult
SRX1329408,female,whole body,whole body,a,adult
SRX1329409,female,whole body,whole body,a,adult
SRX1548016,male,whole body,whole body,a4,adult
SRX1743436,male,whole body,whole body,a3,adult
SRX1743437,male,whole body,whole body,a3,adult
SRX3235238,mixed,whole body,whole body,l3,larva
SRX1098287,unknown,whole body,whole body,l3,larva
SRX1743441,male,whole body,whole body,a3,adult
SRX1743442,male,whole body,whole body,a3,adult
ERX278732,unknown,whole body,whole body,l3,larva
SRX1743444,male,whole body,whole body,a3,adult
SRX002600,unknown,whole body,whole body,a,adult
SRX1743446,male,whole body,whole body,a3,adult
SRX1743447,male,whole body,whole body,a3,adult
SRX1743448,male,whole body,whole body,a3,adult
SRX1743449,male,whole body,whole body,a3,adult
DRX014768,male,whole body,whole body,l3,larva
SRX1743452,male,whole body,whole body,a3,adult
SRX1329426,female,whole body,whole body,a,adult
SRX1329427,female,whole body,whole body,a,adult
SRX1329428,male,whole body,whole body,a,adult
SRX1329429,male,whole body,whole body,a,adult
SRX3525598,male,whole body,whole body,a,adult
SRX1743459,male,whole body,whole body,a3,adult
SRX1342062,male,whole body,whole body,a,adult
SRX1329433,female,whole body,whole body,a,adult
SRX1605760,female,whole body,whole body,a,adult
SRX1605761,female,whole body,whole body,a,adult
SRX3526094,male,whole body,whole body,a,adult
SRX3526417,male,whole body,whole body,a,adult
SRX1098307,unknown,whole body,whole body,l3,larva
SRX1329439,female,whole body,whole body,a,adult
SRX1098309,unknown,whole body,whole body,l3,larva
SRX1483040,female,whole body,whole body,a,adult
SRX675281,female,whole body,whole body,a,adult
SRX703150,male,whole body,whole body,a,adult
SRX494044,unknown,whole body,whole body,a,adult
SRX494119,unknown,whole body,whole body,a,adult
SRX494075,unknown,whole body,whole body,a,adult
SRX494023,unknown,whole body,whole body,a,adult
SRX494021,unknown,whole body,whole body,a,adult
SRX494095,unknown,whole body,whole body,a,adult
SRX494018,unknown,whole body,whole body,a,adult
SRX3526110,male,whole body,whole body,a,adult
SRX3526108,male,whole body,whole body,a,adult
SRX834676,female,whole body,whole body,a3,adult
SRX675052,male,whole body,whole body,a,adult
DRX014802,female,whole body,whole body,l3,larva
SRX3526114,male,whole body,whole body,a,adult
SRX703162,male,whole body,whole body,a,adult
SRX675380,female,whole body,whole body,a,adult
SRX1329459,male,whole body,whole body,a,adult
SRX1329461,female,whole body,whole body,a,adult
SRX1483049,male,whole body,whole body,a,adult
SRX494037,unknown,whole body,whole body,a,adult
SRX494039,unknown,whole body,whole body,a,adult
SRX702926,male,whole body,whole body,a,adult
SRX702927,male,whole body,whole body,a,adult
SRX702928,female,whole body,whole body,a,adult
SRX340320,male,whole body,whole body,a5,adult
SRX675377,male,whole body,whole body,a,adult
SRX2236792,male,whole body,whole body,a,adult
SRX2236793,male,whole body,whole body,a,adult
SRX1491295,female,whole body,whole body,a5,adult
SRX1491296,female,whole body,whole body,a5,adult
SRX2236796,male,whole body,whole body,a,adult
SRX2236797,male,whole body,whole body,a,adult
SRX3526132,male,whole body,whole body,a,adult
SRX675378,male,whole body,whole body,a,adult
SRX1329475,female,whole body,whole body,a,adult
SRX1329476,male,whole body,whole body,a,adult
SRX703184,female,whole body,whole body,a,adult
SRX703185,female,whole body,whole body,a,adult
SRX3526143,male,whole body,whole body,a,adult
SRX3526145,male,whole body,whole body,a,adult
SRX3526151,male,whole body,whole body,a,adult
SRX3526153,male,whole body,whole body,a,adult
SRX3526155,male,whole body,whole body,a,adult
SRX3526156,male,whole body,whole body,a,adult
SRX3526407,male,whole body,whole body,a,adult
SRX3526409,male,whole body,whole body,a,adult
SRX3526408,male,whole body,whole body,a,adult
SRX3526412,male,whole body,whole body,a,adult
SRX3526413,male,whole body,whole body,a,adult
SRX3526414,male,whole body,whole body,a,adult
SRX3526415,male,whole body,whole body,a,adult
SRX3526424,male,whole body,whole body,a,adult
SRX3526416,male,whole body,whole body,a,adult
SRX3526420,male,whole body,whole body,a,adult
SRX3526419,male,whole body,whole body,a,adult
SRX3526421,male,whole body,whole body,a,adult
SRX3526422,male,whole body,whole body,a,adult
SRX3526425,male,whole body,whole body,a,adult
SRX3526427,male,whole body,whole body,a,adult
SRX3526426,male,whole body,whole body,a,adult
SRX3526432,male,whole body,whole body,a,adult
SRX3526429,male,whole body,whole body,a,adult
SRX3526430,male,whole body,whole body,a,adult
SRX1098293,unknown,whole body,whole body,l3,larva
SRX823567,male,whole body,whole body,a,adult
SRX525170,female,whole body,whole body,a3,adult
SRX3565551,male,whole body,whole body,a,adult
SRX3565558,male,whole body,whole body,a,adult
SRX3565552,male,whole body,whole body,a,adult
SRX3565557,male,whole body,whole body,a,adult
SRX3565561,male,whole body,whole body,a,adult
SRX3565560,male,whole body,whole body,a,adult
SRX674743,female,whole body,whole body,a,adult
SRX674744,female,whole body,whole body,a,adult
SRX1098305,unknown,whole body,whole body,l3,larva
SRX1098306,unknown,whole body,whole body,l3,larva
SRX674747,male,whole body,whole body,a,adult
SRX674748,male,whole body,whole body,a,adult
SRX674749,male,whole body,whole body,a,adult
SRX674750,female,whole body,whole body,a,adult
SRX674751,female,whole body,whole body,a,adult
SRX674752,male,whole body,whole body,a,adult
SRX674753,female,whole body,whole body,a,adult
SRX674754,male,whole body,whole body,a,adult
SRX674755,female,whole body,whole body,a,adult
SRX674756,male,whole body,whole body,a,adult
SRX674757,female,whole body,whole body,a,adult
SRX674758,female,whole body,whole body,a,adult
SRX674759,male,whole body,whole body,a,adult
SRX674760,female,whole body,whole body,a,adult
SRX674761,female,whole body,whole body,a,adult
SRX3235237,mixed,whole body,whole body,l3,larva
ERX2164671,unknown,whole body,whole body,l3,larva
ERX2164672,unknown,whole body,whole body,l3,larva
SRX1522370,female,whole body,whole body,a,adult
SRX1522371,male,whole body,whole body,a,adult
SRX1522372,male,whole body,whole body,a,adult
SRX1522373,male,whole body,whole body,a,adult
SRX1522374,male,whole body,whole body,a,adult
SRX1522375,male,whole body,whole body,a,adult
SRX674772,female,whole body,whole body,a,adult
SRX674773,female,whole body,whole body,a,adult
SRX1522376,male,whole body,whole body,a,adult
SRX2626946,female,whole body,whole body,l3,larva
DRX014775,male,whole body,whole body,a4,adult
DRX014776,male,whole body,whole body,a4,adult
SRX128187,male,whole body,whole body,l3,larva
SRX674779,female,whole body,whole body,a,adult
SRX674780,female,whole body,whole body,a,adult
SRX674781,male,whole body,whole body,a,adult
SRX674782,male,whole body,whole body,a,adult
SRX1522387,male,whole body,whole body,a,adult
SRX1522388,male,whole body,whole body,a,adult
SRX1522389,male,whole body,whole body,a,adult
SRX1522390,male,whole body,whole body,a,adult
SRX674787,male,whole body,whole body,a,adult
SRX3738106,female,whole body,whole body,a1,adult
SRX702900,female,whole body,whole body,a,adult
SRX674788,female,whole body,whole body,a,adult
SRX674789,male,whole body,whole body,a,adult
SRX702903,male,whole body,whole body,a,adult
SRX702904,female,whole body,whole body,a,adult
SRX702905,female,whole body,whole body,a,adult
SRX2768215,unknown,whole body,whole body,l3,larva
SRX2878305,female,whole body,whole body,a,adult
SRX2878306,female,whole body,whole body,a,adult
SRX2878307,female,whole body,whole body,a,adult
SRX702911,male,whole body,whole body,a,adult
SRX2878309,male,whole body,whole body,a,adult
SRX1342077,male,whole body,whole body,a,adult
SRX1342078,male,whole body,whole body,a,adult
SRX1342079,male,whole body,whole body,a,adult
SRX2661643,male,whole body,whole body,l3,larva
SRX674805,male,whole body,whole body,a,adult
SRX1136593,female,whole body,whole body,l3,larva
SRX703040,female,whole body,whole body,a,adult
SRX525106,female,whole body,whole body,a3,adult
SRX525107,female,whole body,whole body,a3,adult
SRX703043,male,whole body,whole body,a,adult
SRX702923,male,whole body,whole body,a,adult
SRX702924,female,whole body,whole body,a,adult
SRX674816,female,whole body,whole body,a,adult
SRX674817,female,whole body,whole body,a,adult
SRX703048,female,whole body,whole body,a,adult
SRX703049,female,whole body,whole body,a,adult
SRX702929,female,whole body,whole body,a,adult
SRX1522422,female,whole body,whole body,a,adult
SRX1522423,female,whole body,whole body,a,adult
SRX1522424,female,whole body,whole body,a,adult
SRX1522425,female,whole body,whole body,a,adult
SRX1522426,female,whole body,whole body,a,adult
SRX1522427,female,whole body,whole body,a,adult
SRX1522428,female,whole body,whole body,a,adult
SRX1522429,female,whole body,whole body,a,adult
SRX1522430,female,whole body,whole body,a,adult
SRX702939,male,whole body,whole body,a,adult
SRX525125,female,whole body,whole body,a3,adult
SRX144322,unknown,whole body,whole body,a,adult
SRX144324,unknown,whole body,whole body,a,adult
SRX674835,male,whole body,whole body,a,adult
SRX674836,male,whole body,whole body,a,adult
SRX113891,unknown,whole body,whole body,a,adult
SRX113892,unknown,whole body,whole body,a,adult
SRX113893,unknown,whole body,whole body,a,adult
SRX113896,unknown,whole body,whole body,a,adult
SRX113899,unknown,whole body,whole body,a,adult
SRX674842,male,whole body,whole body,a,adult
SRX674843,female,whole body,whole body,a,adult
SRX674845,male,whole body,whole body,a,adult
SRX674846,female,whole body,whole body,a,adult
SRX674847,female,whole body,whole body,a,adult
SRX2934388,male,whole body,whole body,a42,adult
SRX2934389,male,whole body,whole body,a28,adult
SRX2934390,male,whole body,whole body,a42,adult
SRX2934391,male,whole body,whole body,a28,adult
SRX674852,male,whole body,whole body,a,adult
SRX674853,female,whole body,whole body,a,adult
SRX674854,male,whole body,whole body,a,adult
SRX674855,male,whole body,whole body,a,adult
SRX674856,female,whole body,whole body,a,adult
SRX674857,male,whole body,whole body,a,adult
SRX674858,male,whole body,whole body,a,adult
SRX2934400,female,whole body,whole body,a28,adult
SRX2934401,female,whole body,whole body,a14,adult
SRX2934402,female,whole body,whole body,a42,adult
SRX2934403,male,whole body,whole body,a14,adult
SRX674863,female,whole body,whole body,a,adult
SRX674864,female,whole body,whole body,a,adult
SRX674865,male,whole body,whole body,a,adult
SRX674866,male,whole body,whole body,a,adult
SRX702976,female,whole body,whole body,a,adult
SRX702977,female,whole body,whole body,a,adult
SRX702978,male,whole body,whole body,a,adult
SRX3021593,unknown,whole body,whole body,l3,larva
DRX014780,male,whole body,whole body,l3,larva
SRX3202675,male,whole body,whole body,a,adult
SRX674873,male,whole body,whole body,a,adult
SRX675257,female,whole body,whole body,a,adult
SRX1522474,female,whole body,whole body,a,adult
SRX3738067,female,whole body,whole body,a1,adult
SRX3738068,female,whole body,whole body,a1,adult
SRX3738069,female,whole body,whole body,a1,adult
SRX3738070,female,whole body,whole body,a1,adult
SRX3738071,female,whole body,whole body,a1,adult
SRX494011,unknown,whole body,whole body,a,adult
SRX3738073,female,whole body,whole body,a1,adult
SRX3738074,female,whole body,whole body,a1,adult
SRX3738075,female,whole body,whole body,a1,adult
SRX246412,unknown,whole body,whole body,a,adult
SRX246414,unknown,whole body,whole body,a,adult
SRX493978,unknown,whole body,whole body,a,adult
SRX493973,unknown,whole body,whole body,a,adult
SRX493992,unknown,whole body,whole body,a,adult
SRX1884382,unknown,whole body,whole body,a4,adult
SRX1884383,unknown,whole body,whole body,a4,adult
SRX1884384,unknown,whole body,whole body,a4,adult
SRX641494,male,whole body,whole body,a3,adult
SRX124986,unknown,whole body,whole body,pu,pupae
SRX012980,unknown,embryo,embryo,e,embryo
SRX012981,unknown,embryo,embryo,e,embryo
SRX012982,unknown,whole body,whole body,l1,larva
SRX012983,unknown,whole body,whole body,l3,larva
SRX012984,unknown,whole body,whole body,pu,pupae
SRX3202320,male,whole body,whole body,a,adult
SRX3738095,female,whole body,whole body,a1,adult
SRX3738096,female,whole body,whole body,a1,adult
SRX3738097,female,whole body,whole body,a1,adult
SRX3738098,female,whole body,whole body,a1,adult
SRX3738099,female,whole body,whole body,a1,adult
SRX3738100,female,whole body,whole body,a1,adult
SRX3738101,female,whole body,whole body,a1,adult
SRX3738102,female,whole body,whole body,a1,adult
SRX3738103,female,whole body,whole body,a1,adult
SRX494125,unknown,whole body,whole body,a,adult
SRX494048,unknown,whole body,whole body,a,adult
SRX271571,female,whole body,whole body,l3,larva
SRX271572,male,whole body,whole body,l3,larva
SRX271573,female,whole body,whole body,l3,larva
SRX271574,male,whole body,whole body,l3,larva
SRX272102,female,whole body,whole body,a4,adult
SRX674917,female,whole body,whole body,a,adult
SRX674918,female,whole body,whole body,a,adult
SRX674791,female,whole body,whole body,a,adult
SRX674792,female,whole body,whole body,a,adult
SRX494067,unknown,whole body,whole body,a,adult
SRX1342072,male,whole body,whole body,a,adult
SRX674795,male,whole body,whole body,a,adult
SRX2661638,mixed,whole body,whole body,l3,larva
SRX675399,female,whole body,whole body,a,adult
SRX1553953,male,whole body,whole body,a,adult
SRX674927,female,whole body,whole body,a,adult
SRX703033,female,whole body,whole body,a,adult
SRX703034,male,whole body,whole body,a,adult
DRX027351,female,whole body,whole body,a,adult
DRX027352,female,whole body,whole body,a,adult
SRX703041,female,whole body,whole body,a,adult
SRX494050,unknown,whole body,whole body,a,adult
SRX246405,unknown,whole body,whole body,a,adult
SRX494076,unknown,whole body,whole body,a,adult
SRX493949,unknown,whole body,whole body,a,adult
SRX246407,unknown,whole body,whole body,a,adult
SRX494079,unknown,whole body,whole body,a,adult
SRX246417,unknown,whole body,whole body,a,adult
SRX494056,unknown,whole body,whole body,a,adult
SRX703050,male,whole body,whole body,a,adult
SRX703051,male,whole body,whole body,a,adult
SRX703052,female,whole body,whole body,a,adult
SRX703053,female,whole body,whole body,a,adult
SRX2070038,female,whole body,whole body,a3,adult
SRX128185,male,whole body,whole body,l3,larva
SRX703056,female,whole body,whole body,a,adult
SRX703057,female,whole body,whole body,a,adult
SRX340316,male,whole body,whole body,a5,adult
SRX340319,female,whole body,whole body,a5,adult
SRX641493,male,whole body,whole body,a3,adult
