curr_SRX,sex,simplified_tissue,broad_tissue,simpled_dev,broad_stage
SRX1894097,mixed,brain,brain,a,adult
ERX2452505,female,brain,brain,a10,adult
SRX2268050,unknown,brain,brain,pu9,pupae
SRX1894095,mixed,brain,brain,a,adult
SRX1892919,mixed,brain,brain,a,adult
SRX1892923,mixed,brain,brain,a,adult
SRX1894094,mixed,brain,brain,a,adult
SRX122605,female,brain,brain,a,adult
SRX1892920,mixed,brain,brain,a,adult
SRX1894092,mixed,brain,brain,a,adult
SRX1894089,mixed,brain,brain,a,adult
SRX122601,female,brain,brain,a,adult
SRX2268051,unknown,brain,brain,pu9,pupae
SRX082126,female,brain,brain,a,adult
SRX3738118,female,brain,brain,a2,adult
SRX1744360,female,brain,brain,a,adult
SRX2618491,unknown,brain,brain,a3,adult
SRX1892915,mixed,brain,brain,a,adult
SRX1892918,mixed,brain,brain,a,adult
SRX122607,female,brain,brain,a,adult
SRX2857449,unknown,brain,brain,l3,larva
SRX082138,female,brain,brain,a,adult
SRX1299399,mixed,brain,brain,l3,larva
ERX2452495,female,brain,brain,a10,adult
SRX2857460,unknown,brain,brain,l3,larva
SRX3738123,female,brain,brain,a1,adult
SRX122591,female,brain,brain,a,adult
SRX1744381,female,brain,brain,a,adult
SRX809468,male,brain,brain,a4,adult
ERX2252497,female,brain,brain,a,adult
SRX122600,female,brain,brain,a,adult
SRX1744379,female,brain,brain,a,adult
SRX1894105,mixed,brain,brain,a,adult
SRX1744378,female,brain,brain,a,adult
SRX1744361,female,brain,brain,a,adult
SRX1744362,female,brain,brain,a,adult
SRX1756417,male,brain,brain,a7,adult
SRX1744358,female,brain,brain,a,adult
SRX122590,female,brain,brain,a,adult
SRX2268049,unknown,brain,brain,a9,adult
SRX3738119,female,brain,brain,a2,adult
SRX3738115,female,brain,brain,a2,adult
SRX3738111,female,brain,brain,a1,adult
SRX122609,female,brain,brain,a,adult
SRX1892917,mixed,brain,brain,a,adult
SRX1744376,female,brain,brain,a,adult
SRX1744377,female,brain,brain,a,adult
SRX1744375,female,brain,brain,a,adult
SRX082127,unknown,brain,brain,a,adult
SRX1299336,mixed,brain,brain,l3,larva
SRX1894106,mixed,brain,brain,a,adult
SRX1744373,female,brain,brain,a,adult
SRX3738122,female,brain,brain,a1,adult
SRX1744402,male,brain,brain,a,adult
SRX1008154,unknown,brain,brain,pu7,pupae
SRX1894107,mixed,brain,brain,a,adult
SRX802071,unknown,brain,brain,l3,larva
SRX2618492,unknown,brain,brain,a3,adult
SRX1744380,female,brain,brain,a,adult
SRX082125,unknown,brain,brain,a,adult
SRX1299413,mixed,brain,brain,l3,larva
SRX1744365,female,brain,brain,a,adult
SRX1892928,mixed,brain,brain,a,adult
SRX1744359,female,brain,brain,a,adult
SRX1756416,male,brain,brain,a7,adult
SRX1744404,male,brain,brain,a,adult
SRX1756414,female,brain,brain,a7,adult
SRX1008151,unknown,brain,brain,pu7,pupae
SRX1894098,mixed,brain,brain,a,adult
SRX1744405,male,brain,brain,a,adult
SRX1892922,mixed,brain,brain,a,adult
SRX1744384,male,brain,brain,a,adult
SRX2618490,unknown,brain,brain,a3,adult
SRX082124,unknown,brain,brain,a,adult
SRX122611,female,brain,brain,a,adult
SRX1894093,mixed,brain,brain,a,adult
SRX3542732,mixed,brain,brain,a,adult
SRX1744398,male,brain,brain,a,adult
SRX1744374,female,brain,brain,a,adult
SRX187185,female,brain,brain,a3,adult
SRX122612,female,brain,brain,a,adult
SRX1894091,mixed,brain,brain,a,adult
SRX122592,female,brain,brain,a,adult
SRX645199,unknown,brain,brain,l3,larva
SRX688560,unknown,brain,brain,l,larva
SRX1892921,mixed,brain,brain,a,adult
ERX2452506,female,brain,brain,a10,adult
SRX1008161,unknown,brain,brain,pu8,pupae
SRX1894113,mixed,brain,brain,a,adult
SRX2857450,unknown,brain,brain,l3,larva
SRX2618489,unknown,brain,brain,a3,adult
SRX1008153,unknown,brain,brain,pu7,pupae
SRX1894087,mixed,brain,brain,a,adult
SRX2857459,unknown,brain,brain,l3,larva
SRX187182,female,brain,brain,a3,adult
SRX2857458,unknown,brain,brain,l3,larva
SRX082131,unknown,brain,brain,a,adult
SRX1744389,male,brain,brain,a,adult
SRX862744,mixed,brain,brain,a8,adult
SRX1744383,male,brain,brain,a,adult
SRX688559,unknown,brain,brain,l,larva
SRX1744364,female,brain,brain,a,adult
SRX1008158,unknown,brain,brain,pu7,pupae
SRX105950,unknown,brain,brain,a4,adult
SRX1892929,mixed,brain,brain,a,adult
SRX082123,unknown,brain,brain,a,adult
SRX2618488,unknown,brain,brain,a3,adult
SRX1894088,mixed,brain,brain,a,adult
SRX1008149,unknown,brain,brain,pu6,pupae
SRX187183,male,brain,brain,a3,adult
SRX1744387,male,brain,brain,a,adult
SRX1892930,mixed,brain,brain,a,adult
SRX082135,unknown,brain,brain,a,adult
SRX1756371,male,brain,brain,a7,adult
ERX2452507,female,brain,brain,a10,adult
SRX1744385,male,brain,brain,a,adult
SRX1008156,unknown,brain,brain,pu7,pupae
SRX1008152,unknown,brain,brain,pu7,pupae
SRX688557,unknown,brain,brain,l,larva
SRX187186,female,brain,brain,a3,adult
SRX1744391,male,brain,brain,a,adult
SRX2268045,unknown,brain,brain,pu7,pupae
SRX082141,female,brain,brain,a,adult
SRX1894119,mixed,brain,brain,a,adult
SRX1744386,male,brain,brain,a,adult
SRX082144,female,brain,brain,a,adult
SRX082143,female,brain,brain,a,adult
SRX1756418,male,brain,brain,a7,adult
SRX1008159,unknown,brain,brain,pu8,pupae
SRX1894109,mixed,brain,brain,a,adult
SRX082128,unknown,brain,brain,a,adult
SRX1744400,male,brain,brain,a,adult
SRX1744363,female,brain,brain,a,adult
SRX1744399,male,brain,brain,a,adult
SRX187187,male,brain,brain,a3,adult
SRX1744396,male,brain,brain,a,adult
SRX082121,unknown,brain,brain,a,adult
ERX2452504,female,brain,brain,a10,adult
SRX082132,unknown,brain,brain,a,adult
SRX082134,unknown,brain,brain,a,adult
SRX688561,unknown,brain,brain,l,larva
SRX802070,unknown,brain,brain,l3,larva
SRX1008160,unknown,brain,brain,pu8,pupae
SRX1008157,unknown,brain,brain,pu7,pupae
SRX1299423,mixed,brain,brain,l3,larva
SRX1756406,female,brain,brain,a7,adult
SRX688562,unknown,brain,brain,l,larva
SRX1008155,unknown,brain,brain,pu7,pupae
SRX1756407,male,brain,brain,a7,adult
SRX187184,male,brain,brain,a3,adult
SRX187181,female,brain,brain,a3,adult
SRX082140,female,brain,brain,a,adult
SRX3542734,mixed,brain,brain,a,adult
SRX688558,unknown,brain,brain,l,larva
ERX2452513,female,brain,brain,a10,adult
SRX1431654,unknown,brain,brain,a,adult
SRX1756413,female,brain,brain,a7,adult
SRX1299303,mixed,brain,brain,l3,larva
SRX1431653,unknown,brain,brain,a,adult
SRX1744403,male,brain,brain,a,adult
SRX1756361,male,brain,brain,a7,adult
SRX1894115,mixed,brain,brain,a,adult
SRX1756408,male,brain,brain,a7,adult
SRX082137,female,brain,brain,a,adult
SRX1894111,mixed,brain,brain,a,adult
SRX1894112,mixed,brain,brain,a,adult
ERX2452514,female,brain,brain,a10,adult
SRX1744388,male,brain,brain,a,adult
SRX082133,unknown,brain,brain,a,adult
SRX1756415,female,brain,brain,a7,adult
SRX1744395,male,brain,brain,a,adult
SRX082130,unknown,brain,brain,a,adult
SRX187188,male,brain,brain,a3,adult
SRX1894117,mixed,brain,brain,a,adult
SRX1894110,mixed,brain,brain,a,adult
SRX1894114,mixed,brain,brain,a,adult
SRX1744393,male,brain,brain,a,adult
SRX1894116,mixed,brain,brain,a,adult
SRX1299428,mixed,brain,brain,l3,larva
SRX082129,unknown,brain,brain,a,adult
SRX1299078,mixed,brain,brain,l3,larva
SRX082142,female,brain,brain,a,adult
SRX1744390,male,brain,brain,a,adult
SRX2268052,unknown,brain,brain,a9,adult
SRX082136,female,brain,brain,a,adult
SRX1894118,mixed,brain,brain,a,adult
SRX1756360,female,brain,brain,a7,adult
SRX1744392,male,brain,brain,a,adult
SRX082139,female,brain,brain,a,adult
SRX1744394,male,brain,brain,a,adult
SRX3542733,mixed,brain,brain,a,adult
SRX1299292,mixed,brain,brain,l3,larva
SRX2268046,unknown,brain,brain,pu7,pupae
SRX1756362,male,brain,brain,a7,adult
SRX802072,unknown,brain,brain,l3,larva
SRX2356692,unknown,brain glia,neuron,a,adult
SRX1101038,unknown,brain glia,neuron,l,larva
SRX2356691,unknown,brain glia,neuron,a,adult
SRX2356689,unknown,brain glia,neuron,a,adult
SRX1101039,unknown,brain glia,neuron,l,larva
SRX1101034,unknown,brain neuroblast,neuron,l3,larva
SRX1101051,unknown,brain neuroblast,neuron,l3,larva
SRX3242718,unknown,brain neuroblast,neuron,l3,larva
SRX390975,unknown,brain neuroblast,neuron,pre2,pupae
SRX2636818,unknown,brain neuroblast,neuron,l3,larva
SRX154752,unknown,brain neuroblast,neuron,l3,larva
SRX1101032,unknown,brain neuroblast,neuron,l3,larva
SRX154750,unknown,brain neuroblast,neuron,l3,larva
